description,sentiment,PClass,PConfidence,SClass,SConfidence
CUSTOMER REQUESTING FOR AVML           Ms Cattaruzzacapo stated that she was a vegetarian and could not have an other options from our regular meal,neutral,Airport,Please manually Review,Dubai,0.942367304
"Customer moved with an infant           Customer originally seated in 23D was moved to 26 H as there were other 2 infants seated in this row, not enough oxygen masks for this row",neutral,Security,Please manually Review,Security Search,0.889792788
Customer Fainted by L3 door As she comes out of the Lavatory         Customer claimed to be 3 or 4 weeks pregnant but she isn't 100% sure   Customer's Husband claimed that this might have happened due to fatigue and lack of rest and food for the last couple of days,negative,Medical,0.783664328,Passenger,1
Customer complain        Customer complained that his screen did not not work properly before service,negative,Cabin Crew,Please manually Review,Compliments,0.883062988
Crew operated higher grade       CCM Natalyia 414378 was pulled out on her day OFF to operate as FG1 on this flight,neutral,Cabin Crew,Please manually Review,Compliments,1
"Chatni was missing         We were only given yogurt for the breakfast ,green chutni  was missing even though it was mentioned in the menu No customer complaint",negative,Product Development,Please manually Review,YC SSQ Errors,0.984638457
Catered Cheese selection not matching menu cheese selection       Menu shows similar cheese selection provided on category 4 and 5 flights  Catered cheese equivalent to business class ie pre set,neutral,Product Development,0.775466244,YC SSQ Errors,Please manually Review
Catered Cheese selection not matching menu cheese selection       Menu shows similar cheese selection provided on category 4 and 5 flights  Catered cheese equivalent to business class ie pre set,neutral,Product Development,0.775466244,YC SSQ Errors,Please manually Review
"Abusive behaviour toward crew members       GR2 Hani Staff  came to me and informed me that the passenger was shouting at him when he tried to re arrange the over head space items to make room for baggage  the passenger had 5 duty free bags spread over the hat rack  when Hani tried to rearrange the items, Mr Memon shouted at him, you better not touch that  Hani informed me that when he tried to explain to him that he is trying to make room for other customer's Mr Memon told Hani: This is not my problem  Later on, when Hani tried to stow the passenger's bag in the hat rack for take off the passenger shouted at him telling him that it will stay there and he wants to speak to his senior",negative,Security,0.975962057,General,0.876774011
Wine spillage          Mr Michel was having red wine  A young traveller at 8E dropped the wine glass at Mr Michel seat while he was having his dessert,neutral,Airport,Please manually Review,Outstation,Please manually Review
"Waiting for his kids to disembark            Mr Al Dabbos was traveling with his family members (wife and 3 kids)  His kids were seated in AFT JC cabin   As he requested to disembark first and with his family members, I suggested if I can place",neutral,Security,Please manually Review,General,Please manually Review
SPML cake         SPML cake and champagne bottle delivered,positive,Airport,Please manually Review,Dubai,0.989065733
Shortage of Male Kitbags            We were missing 7 Male kitbags out of 54 male customers   One of the customers male kitbag was already opened when he received his kitbag,negative,Security,Please manually Review,Theft,Please manually Review
PA from Flight Deck            Mr Alashaari informed me that he was happy and very satisfied with the service but she maintained that there was no PA from the flight deck for the delay  He said it would be nice to be informed,positive,Cabin Crew,Please manually Review,Compliments,0.970668531
Other meal option           Mr Ahli did not like the Adobong Manok (chicken) from the hot meal option  He was offered beef and mushroom stew but he did not like it as well   He claims that these are all Indian food   I explained that this are the only option for Lunch   But I offered him the salad from the crew meals and some tuna salad from the extra clean trays,neutral,Airport,Please manually Review,Outstation,0.990660119
No Chocolates were available on this flight                 Chocolates could not be offered for on this sector since there was none,negative,Product Development,Please manually Review,JC SSQ Errors,0.970225763
NIL sales          No sales were made on this sectorCrew members:Junko Maeda SN : 298804Meng Wei Hu SN: 436235,neutral,Duty Free,Please manually Review,DF Done Nil Sales,0.984670756
MOD wasn't used         MOD wasn't synced with the KIS tablet even though the flight was closed on ground KIS tablet was closed using ground staff internet Net gear was on however MOD or KIS tablet wasn't connected No customer complaint,negative,Product Development,0.827760105,Ground to Pur Msgs,0.852625649
Meal proportion      The meal choice proportion for today's flight was 60%Chicken machbous and 40%Lamb More than 70% of the customers wanted to have the chicken meal choice and there was shortage as a result This is to suggest if we can incre,neutral,Product Development,Please manually Review,Ground to Pur Msgs,Please manually Review
Meal ingredients          Just for your info it will be better if the SPML will be loaded with sticker mentioning the ingredients of the SPMLs,neutral,Product Development,Please manually Review,Ground to Pur Msgs,0.910604373
Lemon not loaded in crew cart        Just for your information the lemon slices were not loaded in YC,neutral,Product Development,Please manually Review,Ground to Pur Msgs,0.91755489
Kit bag was opened           Mr Pavlides received a kit bag that was already opened  He claimed that it was opened and the amenities inside were all used,neutral,Security,Please manually Review,Airport,Please manually Review
Just for your information on the menu it shows that we were supposed to serve the Brown rice salad with lentils and feta for appetiser however what we had on the meal tray was different it was rice corn green and pepper,neutral,Product Development,Please manually Review,YC SSQ Errors,0.982035345
INTERNET CONNEXION VS CREW           Mr Ali did not know why his skywards number was not working for the wifi on board  Mr Ali approached Maha s419721 and asked why it was not working  Maha s419721 stated that she asked Mr Ali about his skyward,neutral,Emirates Skywards,Please manually Review,Product Feedback,0.990402529
IFE not working           Ms Torres' IFE was not working after take off   Reset was done a couple of times but still not working   offered another seat to the customer but customer preferred window seat,neutral,Security,Please manually Review,Security Search,1
IFE not working           Mrs Bartholomew's IFE was not working after take off  We tried to reset the IFE five (5) times  IFE reset and seatbox was done but IFE is still not working   Offered her another seat but she dont want to be apart from her husband   Customer decided to sleep,negative,Security,Please manually Review,Suspicious Behaviour,Please manually Review
IFE NOT WORKING           8,negative,Product Development,Please manually Review,Ground to Pur Msgs,Please manually Review
"IFE INOP , CUSTMER INCOVENIENCED         After take off , customer could not use the IFE as the screen went frozen  Customer could not watch IFE through out the flight",negative,Product Development,Please manually Review,PA issues,Please manually Review
"Highlighting cabin crew outstanding performance           Crew member was observed as really hard worker, she was doing her tasks and duty in professional way, fast ,following the standards  She took initiative to help her colleagues at all time without being asked  Tomoko also was a role model as cabin crew who was really aware of cultural differences and respects , her  positive approach and smile had a positive impact and atmosphere on the Team and customers",positive,Cabin Crew,0.820257402,Compliments,0.993202683
GFML REQUEST          Please provide MRS BEGUM with a GFML for future flight,neutral,Emirates Skywards,Please manually Review,Product Feedback,Please manually Review
GFML NOT PROVIDED              Mrs Mcgoldrick stated that she request for a GFML and it was provided on her previous flight with her name on it however there was no GFML  meal provided on this flight nor was it showing on her profile,neutral,Emirates Skywards,Please manually Review,Transactions,0.991730769
"Duty Free item was not working           While introduction MrLeenen inform me his USB Charger was not working and he bought it only three days ago,  When he asked to change or refunded crew explained he had to do it when he lands in Dubai needs to contact CASA for refund",negative,Airport,Please manually Review,Dubai,0.813051214
"Date on the survey       I have noticed that the date boxes on the Arabic survey form are placed in the wrong order:the boxes are displaying the year, The day and the month while it should be DayMonthYear",neutral,Product Development,Please manually Review,PA issues,0.964991081
Customer's feedback about Breakfast service started too early          There was an incorrect info passing to us about TOD from Cockpit crew which made us to start Breakfast service earlier than we were supposed to  Mr Ruud was upset and he in,negative,Product Development,0.760232651,Ground to Pur Msgs,0.987838785
"CUSTOMER VERY HAPPY WITH CREW MEMBER             Customer requested for Espresso martini and Irena made the drink slightly different  by not adding vodka  She prepared with Tia Maria double espresso ice and shaken for foam,all the customer in",positive,Security,Please manually Review,General,0.977226071
CUSTOMER UPSET DUE TO IFE INOP         Customers ice screen did not respond to touch functions  Customer was inconvenienced due to this,negative,Security,Please manually Review,Security Search,Please manually Review
Customer started having fever during the flight                            (MIRF 394288) It was brought to my attention by cabin crew member Sara (436574)  that customer travelling with his mother started having fever right after the first servic,neutral,Medical,Please manually Review,Passenger,0.973309744
Customer Not Happy with Previous Sector           Ms Alolayan stopped me while she was boarding and asked for a complimentary upgrade She advised that she had been unable to travel from JFK due to weather and that she had upgraded on the previou,negative,Emirates Skywards,Please manually Review,Product Feedback,0.824064772
"CUSTOMER INCOVENIENCED DUE TO MULTIPLE ISSUES           During boarding customer sat at 9B  Seat Mode controller showed loading , after take off Customer when moved to 9A, his window shade could not be closed",neutral,Security,Please manually Review,Security Search,0.903368391
Customer impatient for the service      Whilst doing the mattresses the customer asked for a drink and the crew informed him when she is finished she will bring him his drink The customer then said how long will this take? The crew said approxi,neutral,Security,0.770535428,General,0.942607309
CUSTOMER DID NOT RECEIVE AVML       During the Lunch Service Ms Jagmohun brought it to our attention that she had ordered an AVML when confirming her booking however she did not receive it,neutral,Emirates Skywards,Please manually Review,Transactions,0.990565132
"CUSTOMER COMPLAINING THAT PAID SEAT ARE WERE TO BUSY        Mr Harrisson stated to me that he is not complaining about the cabin crew as they were amazing,he stated that his only concern were the fact that he Paid the seat at 37HJ and did not re",neutral,Security,Please manually Review,General,0.921625501
Cup was found stained in the lunch meal tray            MR Kim found his cup stained with lipstick,neutral,Airport,0.918376179,Outstation,0.904155717
"Crossing cabins          Mrs Julia's friend came from YC to visit her  Mrs Julia's friend cried of joy once she saw her, then she jumped over the customer sleeping at 11E to reach Mrs Julia  Both ladies were chatting loudly in the cabin",neutral,Security,Please manually Review,General,0.978469496
BLML complaint          Customer complained that they did not receive BLML(it was waitlisted)  Customer requested caviar from first class,negative,Airport,Please manually Review,Dubai,0.843047898
Unhappy customer          When the senior went to welcome MrMcgaw on ground he stated that its been really unpleasant experience of him with Emirates Customer said that he is not been given his preferred seat from last three flights and also his bags are been left behind him on his previous flights Customer stated that because he is Qantas customer he doesn't get better service on Emirates flights Customer was fine later on and slept for the flight,neutral,Emirates Skywards,Please manually Review,Product Feedback,0.756568481
TRAY TABLE BROKEN         Mr Sharaer highlighted during the service that his tray table was broken Tray could be use but the second furthest part was uneven and meal tray was very unstable  Customer contact details: bshraer@yaru,negative,Medical,Please manually Review,Passenger,0.955373153
SPML MISSING         Ms Martin claimed she had a VGML ordered however it did not show on the system  Ms Martin complained that her journey has not been nice as her flight booking was changed and this affected her meal order  She claimed that she only had soup on her previous flight NBODXB and so was very hungry  During the initial drink service customer thought crew taking orders on the RHS side ignored her as she skipped her,negative,Product Development,Please manually Review,Ground to Pur Msgs,0.991281608
"Safety issue      After passing the check for the captain by 5 minutes (10 min for landing), Customer stood up and went to the toiletHe was made aware that that was not possible as captain expect cabin to be ready for safe landingMr AlMoajil ignored my instruction and used the toilet and locked the doorWhen he came out he inappropriately complained about not letting him use the toilet",negative,Security,Please manually Review,General,0.757234016
meal heated on ground  drinks with trays           Due to short flight 2h05min meal were heated on ground  All drinks were served directly on trays,neutral,Product Development,0.755474702,Ground to Pur Msgs,0.757358068
KIS REPORT CONTINUTED            CUSTOMER REFUSING TO RETURN TO YC SEAT    Captain told me to inform Miss Al Rasheed he would hold the aircraft until she complied with the instructions to go back to her original seat and would return to stand w,neutral,Safety,Please manually Review,Passenger Behaviour,0.976928365
Immigration delay          All crew had to wait 2 hours 27 minutes by the immigration office as the system was down and it took lot of time to be restarted   Kiosks were unavailable to be used as the entire system was affected  Ground staff in,negative,Airport,Please manually Review,Outstation,0.964826787
"ILLNESS            MRS lamyaa on top of descent when the seat belt sign turned on for landing, her family mentioned that she has a fever and high body temperature LAMYAA father mentioned that lamyaa and her brothers are sick as well Customer had a PANADL tablets in her hands",neutral,Medical,0.819112661,Passenger,0.990724388
Customer paid for extra leg room and not provided with           During boarding Mrs Marshall complained to crew Anastasia about her allocated seat by ground staff Mrs Marshall prepaid 185 AUD form the seat with extra leg room and even presented the receipt form the crew Anastasia,neutral,Airport,0.85023441,Outstation,0.949094084
Customer complaint           Customer complained about 12C seat not reclining  Customer also complained that 12B seat was broken and does not stay in the recline position Customer described the seats it is shit if front of the other customers and crew CSVPaulette witnessed the situation and advised the rest of the crew about  the situation and customer's complaint Customer apologized to me about his language,negative,Security,0.970874333,General,0.915665325
"CUSTOMER BEHAVIOUR ON DISEMBARKATION INTO DUBLIN           During the flight it was noted that Ms Jane was consuming alcohol However there was no obviousprominent behaviour from her being drunk during the flight, but on disembarkation she was",neutral,Security,Please manually Review,General,0.975242996
Broken glasses on  trays         One cart has 5 Traylor broken glasses on trays   We were short of 5 trays as food were contaminated by glass,negative,Product Development,Please manually Review,Ground to Pur Msgs,0.982812163
Amazing Leadership skills               Kahori was pulled out to operate as CSV   Kahori Did a great job leading teams on both sectors   Kahori showed excellent Knowledge of services in both JC and YC,positive,Cabin Crew,0.754577509,Compliments,0.986592872
"Teamwork                 For this flight, a Gr2 crew was allocated the duties of UL1 due to FG1 calling sick  Sanaa Glaoui sn395930 accepted the challenge and seen to be training the Gr2 Alen Bogiv sn451771 for the FC service style and tasks",neutral,Cabin Crew,Please manually Review,Compliments,0.766454346
MrChakraborty asked at the boarding if his daughter can sit on his seat inJClass           We accommodate his request to make his daughter happy,neutral,Airport,Please manually Review,Dubai,0.951265273
DF cards          No Duty Free cards were found to check if target was met or not,neutral,Airport,Please manually Review,Dubai,0.9903284
"CUSTOMER LEGS ARE SWALLEN       During cruise Mrs Rosana approached cabin crew claiming that her legs are swollen and tender Cabin crew moved Mrs Rosana to 3 vacant crew seats elevated legs SAMPLE WAS TAKEN S swollen legs, A no allergies, M A",negative,Medical,Please manually Review,Passenger,0.979655488
Customer did not want to have the lamb choice       During the breakfast service it was brought to my attention by cabin crew member Camilla (456062) that her meal cart was left with the lamb choice eventually  Mr Baranov refused to have the la,neutral,Cabin Crew,Please manually Review,Hotel Feedback,1
Customer Did Not Receive HIs Special Meal                 Customer claimed that he had ordered for AVML but at the last minute He said his agent had booked one for him,neutral,Airport,Please manually Review,Dubai,0.959949092
