description,sentiment,PClass,PConfidence,SClass,SConfidence
A SPML request  : VGML,neutral,Emirates Skywards,0.618580243,Product Feedback,0.768341391
Refusal to comply with the cabin securing for landing       During cabin securing for landing Mr Alqahtani seated in 38E refused to sit his child properly for landing  Crew member Marina (452140) was securing the area and tried to assist the custome,neutral,Safety,0.628832928,Passenger Behaviour,0.979591767
REMOTE CONTROL ANF IFE NOT FUNCTIONING      MrMotala informed cabin crew of his TV system flickering and remote control not working,negative,Airport,0.629798142,Dubai,0.937317667
VGML NOT AVAILABLE      Mrs Linossier claimed the she requested for a VGML  however her meal was not catered,neutral,Emirates Skywards,0.632126197,Product Feedback,Please manually Review
"Would you please delete CHML from her profile       Mrs Eljack, Mother of Miss Eljack, claimed that her draught is getting served with CHML although they have tried to cancel CHML by speaking with Emirates staff   Miss Eljack is grown up and would like to choose her meal options from the menu card   Once again please, delete CHML from her profile",negative,Emirates Skywards,0.632921322,IO customers,1
"84 minutes minute  delay departure and ovens malfunctioning        Linens done the length of the cabin, as we had many customers complaining that they were hungry in the rear cabin  CSV and Purser helped to place the trays and to clear, in order to f",neutral,Product Development,0.635557453,Ground to Pur Msgs,0.987217145
"Bad Weather      Due to bad weather, the cabin crew was asked to sit down for 5 inutes for safety reason  Tea and coffee was not done as it was not safe to do so  Captain informed that the turbulence will last for approximately 45 minutes",negative,Product Development,0.639904613,Ground to Pur Msgs,Please manually Review
SHORTAGE OF THE BEEF OPTION       As per the percentage only 30 percent beef was loaded while the rest was chicken There was a shortage of beef option as customers preferred the beef option Approximately 15 customers were declined the beef option,negative,Product Development,0.640653527,YC SSQ Errors,0.799164017
PAYROLL ADJUSTMENTS      Crew member Fausto (452629) worked as a GR1 on the return sector from LHR DXB,neutral,Cabin Crew,0.645172423,Compliments,1
PAYROLL ADJUSTMENTS      Crew member Fausto (452629) worked as a GR1 on the return sector from LHR DXB,neutral,Cabin Crew,0.645172423,Compliments,1
SPML very bad content       During my catering checks on ground I noticed that the SPML light bites options were very poor quality The AVML consisted of one small round  sandwich and the GFML was one tiny green apple  There was no sweet treat for the SPML customers and looked bad to deliver this as a service,negative,Product Development,0.646073991,YC SSQ Errors,Please manually Review
AVML REQUESTED      Customer requested AVML was not catered on this flight Customer was disappointed because she stated to have ordered the meal when booking the ticket,neutral,Emirates Skywards,0.648145922,Product Feedback,0.967009456
AVML CANCELLATION REQUEST      Mrs Grayling requested to cancel her AVML,neutral,Emirates Skywards,0.656190456,Product Feedback,0.961958499
Pre DEPARTURE SERVICES completed after Take off          Due to short taxiing Pre departure: Water cuplets  Toys Menu services were completed after take off,neutral,Product Development,0.658231371,Ground to Pur Msgs,0.966067482
"2 Ovens INOP in economy class Front Galley   No customer complain        On today's flight, this aircraft configuration had 4 ovens in the economy front galley instead of 6 ovens  2 Ovens out of the 4 ovens were INOP  Dinner service was delayed by 45 mins, than it's original timing  Dinner service started 1 hour 15 mins after take off  As meals were frozen it took more time to be fully heated",negative,Product Development,0.658273752,Ground to Pur Msgs,Please manually Review
Ara complained of a very strong headache with a pain level of 1010,negative,Medical,0.658943852,Passenger,1
"baby height      Her baby not fit properly ( legs not fully straight )  inside the bassinet  Please don't offered baby bassinet for their next sectors, for consistency  Customer insisted that she got confirmation from customer service that they be a",positive,Safety,0.659215628,Passenger Behaviour,0.935556949
"AVML delivery  US flights     We suggest that after delivering the other special meals, AVML get distributed in a full cart in the cabin, one cart on the left with a list, and one on the right, from forward to aft using 2 crew members  The remaining normal carts and bar will follow immediately  AVML cart will not carry drinks in order not to delay the remaining customers and confuse them",negative,Product Development,0.661591331,Ground to Pur Msgs,0.986784764
PLEASE CHANGE SPML Custom prefers to have FPML Please change on system,neutral,Emirates Skywards,0.66591347,Transactions,Please manually Review
Menus were loaded wrong in the MOD and KIS tablet than the real catering and menu,negative,Product Development,0.669694116,Ground to Pur Msgs,Please manually Review
"Yogurts were Not Loaded on Breakfast Trays      While preparing the tray for the breakfast service, I noticed that there are approximately 5 trays that does not have a yogurt on it",neutral,Product Development,0.67732979,YC SSQ Errors,0.95399207
"Seat not staying upright      The son of Mrs Vaid is the one who was sitting on 62D and his seat was not staying upright, it was reclining itself without pressing the button",neutral,Airport,0.684606927,Dubai,0.967128566
Not happy that the meal service is not flexible     During the lunch order customer informed the crew that he would like to have his lunch at later stage on the flight Customer made a comment that  the hot towels that were served as pre departure  were not having enough lemon cent Customer said  that on all his flights the crew are serving his meal whenever he wants and its first time that crew are not flexible with him,negative,Product Development,0.684825565,Ground to Pur Msgs,0.989468176
"AVML REQUEST      During the service, Mr Gade requested an AVML  No AVML ordered on his profile",neutral,Emirates Skywards,0.685447355,Product Feedback,0.940105973
